Symbol, Price, Shares
BLT.L,-0.707519323931,1143.5
TLW.L,-0.689528795812,237.2
AAL.L,-0.516626213592,796.6
WEIR.L,-0.438498699368,1511.0
GLEN.L,-0.434782608696,212.55
FRES.L,-0.342036553525,630.0
ANTO.L,-0.314619883041,586.0
RDSB.L,-0.308678500986,1752.5
RIO.L,-0.307625899281,2406.0
AGK.L,-0.302705749718,1237.0
