Symbol, Price, Shares
BDEV.L,0.690994216469,614.0
IAG.L,0.651812240048,556.0
CCL.L,0.580159849553,3361.0
PSN.L,0.510505836576,1941.0
LSE.L,0.437257229476,2579.0
MNDI.L,0.41061452514,1515.0
SGE.L,0.398601398601,520.0
TPK.L,0.328267477204,2185.0
WOS.L,0.322662440571,4173.0
ITV.L,0.318048780488,270.2
