Symbol, Price, Shares
NXT.L,7170.0,1
RB.L,5500.0,1
RRS.L,5450.0,1
SHP.L,4868.0,1
AZN.L,4700.0,1
WOS.L,3960.0,1
BATS.L,3779.5,1
JMAT.L,3569.0,1
SAB.L,3475.0,1
ABF.L,3112.0,1
CCL.L,3110.0,1
IMT.L,3091.0,1
SDR.L,2919.0,1
ULVR.L,2892.0,1
IHG.L,2756.0,1
LSE.L,2405.0,1
SVT.L,2139.0,1
DGE.L,1967.0,1
TPK.L,1935.0,1
BNZL.L,1922.0,1
BRBY.L,1774.0,1
EZJ.L,1756.0,1
CRH.L,1663.0,1
PRU.L,1620.5,1
PSN.L,1562.0,1
SSE.L,1516.0,1
GSK.L,1498.5,1
WPP.L,1471.0,1
PSON.L,1346.0,1
LAND.L,1286.0,1
SN.L,1186.0,1
EXPN.L,1181.0,1
MNDI.L,1178.0,1
REL.L,1158.0,1
CPG.L,1138.0,1
AHT.L,1118.0,1
