Symbol, Price, Shares
SHP.L,5330.0,1
LSE.L,2553.0,1
MNDI.L,1347.0,1
AHT.L,1163.0,1
IAG.L,572.5,1
BDEV.L,549.5,1
SGE.L,543.5,1
RSA.L,433.7,1
FLG.L,429.4,1
ITV.L,260.7,1
