Symbol, Price, Shares
NXT.L,7325.0,1
RB.L,5685.0,1
SHP.L,5065.0,1
RRS.L,5015.0,1
WOS.L,3999.0,1
BATS.L,3656.0,1
SAB.L,3599.5,1
JMAT.L,3481.0,1
IMT.L,3100.0,1
ABF.L,3036.0,1
SDR.L,3021.0,1
CCL.L,2875.0,1
ULVR.L,2800.0,1
IHG.L,2533.0,1
LSE.L,2461.0,1
SVT.L,2049.0,1
TPK.L,2016.0,1
BNZL.L,1928.0,1
BRBY.L,1908.0,1
DGE.L,1886.0,1
CRH.L,1835.0,1
EZJ.L,1752.0,1
PSN.L,1694.0,1
PRU.L,1604.0,1
GSK.L,1530.0,1
SSE.L,1527.0,1
WPP.L,1518.0,1
ADM.L,1463.0,1
IMI.L,1445.0,1
PSON.L,1391.0,1
MNDI.L,1271.0,1
LAND.L,1230.0,1
EXPN.L,1190.0,1
REL.L,1182.0,1
SN.L,1175.0,1
