Symbol, Price, Shares
SHP.L,5260.0,1
CCL.L,3258.0,1
IHG.L,2642.0,1
LSE.L,2447.0,1
PSON.L,1443.0,1
IAG.L,600.0,1
SL.L,477.5,1
RSA.L,426.6,1
FLG.L,420.2,1
LGEN.L,280.5,1
