Symbol, Price, Shares
V,278.29,1
GS,191.79,1
MMM,170.5,1
BA,153.8,1
UTX,123.19,1
HD,116.12,1
UNH,114.4,1
TRV,107.9,1
DIS,105.89,1
MCD,100.0,1
